attribute,instance,parent_instance,notation,label,definition,reference,citation,isproperty,concept_definition,pub_chem,inchi_key,inchi
waterRetention,WRG1500,,WRG1500,Water Retention Gravimetric 1500 kPa,"Gravimetric water retention at 1500 kPa refers to the mass of water retained by the soil at this pressure, as measured by the gravimetric method (weighing the soil before and after drying). This pressure represents the point at which water is tightly held by the soil and is no longer easily accessible to plants, closely corresponding to the permanent wilting point. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
waterRetention,WRV10,,WRV10,Water Retention Volumetric 10 kPa,"Water retention at 10 kPa measures the volumetric water content of the soil at this pressure, which is typically considered within the zone of plant-available water. At 10 kPa, the soil retains water that can be easily accessed by plants for growth and physiological processes. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
waterRetention,WRV1500,,WRV1500,Water Retention Volumetric 1500 kPa,"Water retention at 1500 kPa (or field capacity) measures the amount of water that a soil can hold at this specific suction pressure. This is a critical indicator of the soil's ability to retain water against gravity after it has drained. At 1500 kPa, the soil's moisture content represents the point at which most of the water available for plant use has been drained, and it is typically considered the permanent wilting point. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
waterRetention,WRV33,,WRV33,Water Retention Volumetric 33 kPa,"Water retention at 33 kPa represents the volumetric water content in soil at a pressure of 33 kPa, which is often associated with the field capacity of the soil. At this pressure, water is held in the soil that is available for most plant species, providing a balance between water retention and drainage. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
waterRetention,WRV,,WRV,Water Retention Volumetric,"Volumetric water retention refers to the amount of water retained in the soil, expressed as a volume per unit volume of soil. This measure is crucial for understanding the soil's ability to retain and supply water to plants, and it is often assessed at different matric potentials, such as 33 kPa or 1500 kPa, depending on the context. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
waterRetention,WRG6,,WRG6,Water Retention Gravimetric 6 kPa,"Gravimetric water retention at 6 kPa measures the soil's water content at a low suction pressure, typically indicative of the moisture available to plants under less favorable conditions. The gravimetric method involves weighing the soil before and after drying to assess the retained water. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
waterRetention,WRV200,,WRV200,Water Retention Volumetric 200 kPa,"Water retention at 200 kPa refers to the volumetric water content retained by the soil at a 200 kPa pressure. This measurement typically lies between the field capacity and wilting point, giving an indication of the soil’s ability to hold water that plants can access under moderate stress conditions. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
waterRetention,WRG10,,WRG10,Water Retention Gravimetric 10 kPa,"Gravimetric water retention at 10 kPa measures the water held in the soil at 10 kPa pressure, commonly representing the moisture content that is available to plants under normal growing conditions. This measurement is crucial for assessing the soil’s capacity to retain and supply water to plants. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
waterRetention,WRG,,WRG,Water Retention Gravimetric,"Gravimetric water retention refers to the amount of water held by the soil measured by weight, often expressed in terms of mass per unit mass of soil. It is a fundamental method for assessing soil moisture content and can be determined at various suction pressures like 33 kPa or 1500 kPa. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
waterRetention,WRV6,,WRV6,Water Retention Volumetric 6 kPa,"Volumetric water retention at 6 kPa measures the soil’s ability to hold water at a low pressure, typically indicating the moisture content available to plants under conditions of mild water stress. It is important for understanding the soil's water-holding capacity and potential for plant growth. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
waterRetention,WRG500,,WRG500,Water Retention Gravimetric 500 kPa,"Gravimetric water retention at 500 kPa indicates the amount of water retained in the soil at this pressure. This is closer to the permanent wilting point, with the gravimetric method determining the mass of water held in the soil at this specific tension. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
waterRetention,WRG200,,WRG200,Water Retention Gravimetric 200 kPa,"Gravimetric water retention at 200 kPa is the mass of water retained by the soil at this specific suction pressure. It provides insight into the soil’s ability to retain water that is not easily lost by evaporation, offering a more accurate measurement of water held at pressures significant for plant growth. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
waterRetention,WRV100,,WRV100,Water Retention Volumetric 100 kPa,"Water retention at 100 kPa measures the volumetric water content in the soil at this pressure. This value is often used to assess the availability of water for plant uptake under normal conditions, as it lies between field capacity and the wilting point for many soils. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
waterRetention,WRV500,,WRV500,Water Retention Volumetric 500 kPa,"Water retention at 500 kPa measures the volumetric water content of the soil at a pressure of 500 kPa, which lies between field capacity and permanent wilting point. This pressure is commonly used in assessing soil water retention characteristics for plants that are not able to access water at extremely low pressures. The volumetric water content at 500 kPa indicates the soil's capacity to hold water that is readily available for plant uptake. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
rockAbundance,C,,C,Common,5%–15% of rock fragments,,,False,"Abundance of rock fragments and artefacts, by volume. See more in Guidelines for Soil Description issued by the FAO: table 26",,,
