collection,concept,parent_concept,notation,label,definition,reference,citation,collection_definition,pub_chem,inchi_key,inchi
gypsumContent,ST,,ST,Strongly gypsiric,≈ 15–60 higher amounts may be differentiated by abundance of H2O-soluble pseudomycelia/crystals and soil colour,,,"Where more readily soluble salts are absent, gypsum can be estimated in the field by measurements of electrical conductivity. More in the guidelines for Soil Description issued by the FAO: table 40",,,
gypsumContent,N,,N,Non-gypsiric,0 EC = < 0.18 dS m-1 in 10 g soil/250 ml H2O,,,"Where more readily soluble salts are absent, gypsum can be estimated in the field by measurements of electrical conductivity. More in the guidelines for Soil Description issued by the FAO: table 40",,,
rockAbundance,C,,C,Common,5%–15% of rock fragments,,,"Abundance of rock fragments and artefacts, by volume. See more in Guidelines for Soil Description issued by the FAO: table 26",,,
rockAbundance,D,,D,Dominant,> 80% of rock fragments,,,"Abundance of rock fragments and artefacts, by volume. See more in Guidelines for Soil Description issued by the FAO: table 26",,,
rockAbundance,N,,N,,0% of rock fragments,,,"Abundance of rock fragments and artefacts, by volume. See more in Guidelines for Soil Description issued by the FAO: table 26",,,
rockAbundance,F,,F,Few,2%–5% of rock fragments,,,"Abundance of rock fragments and artefacts, by volume. See more in Guidelines for Soil Description issued by the FAO: table 26",,,
rockAbundance,M,,M,Many,15%–40% of rock fragments,,,"Abundance of rock fragments and artefacts, by volume. See more in Guidelines for Soil Description issued by the FAO: table 26",,,
rockAbundance,A,,A,Abundant,40%–80% of rock fragments,,,"Abundance of rock fragments and artefacts, by volume. See more in Guidelines for Soil Description issued by the FAO: table 26",,,
rockAbundance,S,,S,Stone line,"any content, but concentrated at a distinct depth of a horizon",,,"Abundance of rock fragments and artefacts, by volume. See more in Guidelines for Soil Description issued by the FAO: table 26",,,
rockAbundance,V,,V,Very few,0%–2% of rock fragments,,,"Abundance of rock fragments and artefacts, by volume. See more in Guidelines for Soil Description issued by the FAO: table 26",,,
sealingThickness,F,,F,Thin,Surface sealing with thickness < 2mm,,,"Surface sealing is used to describe crusts that develop at the soil surface after the topsoil dries out. See more in Guidelines for Soil Description issued by the FAO: 20,1",,,
sealingThickness,N,,N,,No surface sealing,,,"Surface sealing is used to describe crusts that develop at the soil surface after the topsoil dries out. See more in Guidelines for Soil Description issued by the FAO: 20,1",,,
sealingThickness,M,,M,Medium,Surface sealing with thickness  2mm–5mm,,,"Surface sealing is used to describe crusts that develop at the soil surface after the topsoil dries out. See more in Guidelines for Soil Description issued by the FAO: 20,1",,,
sealingThickness,V,,V,Very thick,Surface sealing with thickness > 20mm,,,"Surface sealing is used to describe crusts that develop at the soil surface after the topsoil dries out. See more in Guidelines for Soil Description issued by the FAO: 20,1",,,
sealingThickness,C,,C,Thick,Surface sealing with thickness  5mm–20mm,,,"Surface sealing is used to describe crusts that develop at the soil surface after the topsoil dries out. See more in Guidelines for Soil Description issued by the FAO: 20,1",,,
rockOutcropsDistance,3,,3,Between 5m and 20m,Distance between rock outcrops between 5 and 20 m,,,"Recommended classes of percentage of surface cover and of average distance between rock outcrops. See more in Guidelines for Soil Description issued by the FAO: table 14,2",,,
rockOutcropsDistance,5,,5,Less than 2,Distance between rock outcrops is less than 2m: < 2,,,"Recommended classes of percentage of surface cover and of average distance between rock outcrops. See more in Guidelines for Soil Description issued by the FAO: table 14,2",,,
rockOutcropsDistance,1,,1,More than 50m,Distance between rock outcrops is more than 50m: >50m,,,"Recommended classes of percentage of surface cover and of average distance between rock outcrops. See more in Guidelines for Soil Description issued by the FAO: table 14,2",,,
rockOutcropsDistance,2,,2,Between 20m and 50m,Distance between rock outcrops between 20 and 50 m,,,"Recommended classes of percentage of surface cover and of average distance between rock outcrops. See more in Guidelines for Soil Description issued by the FAO: table 14,2",,,
rockOutcropsDistance,4,,4,Between 2m and 5m,Distance between rock outcrops between 2 and 5 m,,,"Recommended classes of percentage of surface cover and of average distance between rock outcrops. See more in Guidelines for Soil Description issued by the FAO: table 14,2",,,
fragmentsClass,FGF3,,FGF3,FragmentsGravimetricFraction03,Horizon layer property of Coarse fragments - gravimetric fraction 03,,,Horizon properties encountered in a global data compilation programme. See more in ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
fragmentsClass,FVE,,FVE,FragmentsVolumetricEstimate,"Horizon layer property of Coarse fragments - volumetric total, field estimated ",,,Horizon properties encountered in a global data compilation programme. See more in ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
fragmentsClass,FV2,,FV2,FragmentsVolumetric02,Horizon layer property of Coarse fragments - volumetric fraction 02,,,Horizon properties encountered in a global data compilation programme. See more in ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
fragmentsClass,FV3,,FV3,FragmentsVolumetric03,Horizon layer property of Coarse fragments - volumetric fraction 03,,,Horizon properties encountered in a global data compilation programme. See more in ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
fragmentsClass,FGT,,FGT,FragmentsGravimetricTotal,Horizon layer property of Coarse fragments - gravimetric total,,,Horizon properties encountered in a global data compilation programme. See more in ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
fragmentsClass,FGF2,,FGF2,FragmentsGravimetricFraction02,Horizon layer property of Coarse fragments - gravimetric fraction 02,,,Horizon properties encountered in a global data compilation programme. See more in ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
fragmentsClass,FGF1,,FGF1,FragmentsGravimetricFraction01,Horizon layer property of Coarse fragments - gravimetric fraction 01,,,Horizon properties encountered in a global data compilation programme. See more in ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
fragmentsClass,FV1,,FV1,FragmentsVolumetric01,Horizon layer property of Coarse fragments - volumetric fraction 01,,,Horizon properties encountered in a global data compilation programme. See more in ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
fragmentsClass,FGF4,,FGF4,FragmentsGravimetricFraction04,Horizon layer property of Coarse fragments - gravimetric fraction 04,,,Horizon properties encountered in a global data compilation programme. See more in ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
fragmentsClass,FVT,,FVT,FragmentsVolumetricTotal,Horizon layer property of Coarse fragments - volumetric total,,,Horizon properties encountered in a global data compilation programme. See more in ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
peatDrainage,DC4,,DC4,Well drained,Well drained peat material,,,"Bulk density and volume of solids of organic soils may be estimated after the decomposition stage or the extent of peat drainage. More information is in the guidelines for Soil Description issued by the FAO: table 59,1",,,
peatDrainage,DC3,,DC3,Moderately drained,Moderately drained peat material,,,"Bulk density and volume of solids of organic soils may be estimated after the decomposition stage or the extent of peat drainage. More information is in the guidelines for Soil Description issued by the FAO: table 59,1",,,
